109.834	109.834	104.116
98.4424	98.4424	93.3276
88.8678	88.8678	84.2125
81.3149	81.3149	76.9232
74.5532	74.5532	70.3513
68.1719	68.1719	64.1061
61.966	61.966	58.0139
55.8922	55.8922	52.0344
49.9522	49.9522	46.1815
44.1865	44.1865	40.4952
38.6408	38.6408	35.0272
33.3665	33.3665	29.8277
28.4073	28.4073	24.9438
23.8014	23.8014	20.4122
19.577	19.577	16.2628
15.7555	15.7555	12.5158
12.3517	12.3517	9.18718
9.37719	9.37719	6.28703
6.83978	6.83978	3.82388
4.74605	4.74605	1.80184
3.11624	3.11624	0.241174
1.96048	1.96048	-0.847101
1.21087	1.21087	-1.52897
0.754974	0.754974	-1.91773
0.50331	0.50331	-2.10278
0.392609	0.392609	-2.14819
0.377805	0.377805	-2.09873
0.425381	0.425381	-1.9885
0.511508	0.511508	-1.84103
0.618077	0.618077	-1.67485
0.732739	0.732739	-1.50201
0.845408	0.845408	-1.3329
0.95024	0.95024	-1.17305
1.04218	1.04218	-1.02771
1.12126	1.12126	-0.896588
1.18682	1.18682	-0.780487
1.24557	1.24557	-0.672596
1.29754	1.29754	-0.572868
1.36271	1.36271	-0.461881
1.34781	1.34781	-0.427349
1.06302	1.06302	-0.647222
0.668609	0.668609	-0.972012
0.434988	0.434988	-1.14905
0.352695	0.352695	-1.18608
0.344151	0.344151	-1.15453
0.376934	0.376934	-1.08494
0.432429	0.432429	-0.99477
0.500423	0.500423	-0.894023
0.572659	0.572659	-0.790626
0.642541	0.642541	-0.691268
0.704017	0.704017	-0.601869
0.752269	0.752269	-0.5274
0.783743	0.783743	-0.47132
0.796626	0.796626	-0.435559
0.790613	0.790613	-0.420289
0.766538	0.766538	-0.424714
0.725534	0.725534	-0.447516
0.668113	0.668113	-0.488181
0.592961	0.592961	-0.547854
0.49874	0.49874	-0.627838
0.40531	0.40531	-0.707392
0.350052	0.350052	-0.748029
0.342865	0.342865	-0.739652
0.366427	0.366427	-0.700309
0.404728	0.404728	-0.646363
0.44903	0.44903	-0.586748
0.493677	0.493677	-0.527059
0.534145	0.534145	-0.471855
0.566387	0.566387	-0.425071
0.587097	0.587097	-0.390033
0.593961	0.593961	-0.368964
0.586159	0.586159	-0.362728
0.56447	0.56447	-0.3705
0.531349	0.531349	-0.389917
0.490477	0.490477	-0.417299
0.446336	0.446336	-0.448283
0.40352	0.40352	-0.47829
0.366414	0.366414	-0.503041
0.338892	0.338892	-0.518655
0.324435	0.324435	-0.521723
0.32518	0.32518	-0.510058
0.339712	0.339712	-0.485073
0.362882	0.362882	-0.451803
0.388988	0.388988	-0.415938
0.413684	0.413684	-0.381764
0.43392	0.43392	-0.352358
0.447368	0.447368	-0.330006
0.452427	0.452427	-0.316339
0.448315	0.448315	-0.31209
0.435358	0.435358	-0.31695
0.414996	0.414996	-0.329418
0.389738	0.389738	-0.346991
0.362727	0.362727	-0.366461
0.337284	0.337284	-0.384511
0.316279	0.316279	-0.39822
0.301765	0.301765	-0.405549
0.294702	0.294702	-0.405502
0.295034	0.295034	-0.398164
0.301782	0.301782	-0.384489
0.313292	0.313292	-0.366161
0.327363	0.327363	-0.345361
0.341557	0.341557	-0.324554
0.35356	0.35356	-0.306028
0.36159	0.36159	-0.29159
0.364487	0.364487	-0.282374
0.361771	0.361771	-0.278882
0.353606	0.353606	-0.28093
0.34086	0.34086	-0.287675
0.324988	0.324988	-0.297644
0.307908	0.307908	-0.308945
0.291655	0.291655	-0.319523
0.278091	0.278091	-0.327541
0.268553	0.268553	-0.33164
0.263711	0.263711	-0.331168
0.263495	0.263495	-0.326169
0.267241	0.267241	-0.317325
0.273826	0.273826	-0.305734
0.281912	0.281912	-0.292747
0.290083	0.290083	-0.279759
0.297034	0.297034	-0.268087
0.301662	0.301662	-0.258816
0.303205	0.303205	-0.25272
0.3013	0.3013	-0.250143
0.296051	0.296051	-0.250993
0.287976	0.287976	-0.254732
0.277976	0.277976	-0.260473
0.267177	0.267177	-0.267068
0.256811	0.256811	-0.2733
0.247993	0.247993	-0.278033
0.241588	0.241588	-0.280418
0.238054	0.238054	-0.279979
0.237426	0.237426	-0.276695
0.239327	0.239327	-0.27093
0.243084	0.243084	-0.263367
0.247831	0.247831	-0.25486
0.252665	0.252665	-0.246326
0.256727	0.256727	-0.238607
